id,name,address,city,type
493,bistango,1100 peachtree st.,atlanta,mediterranean
494,cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,american
495,camille's,1186 n. highland ave.,atlanta,italian
496,cassis,3300 peachtree rd.  grand hyatt,atlanta,mediterranean
497,city grill,50 hurt plaza,atlanta,international
498,coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,caribbean
499,colonnade restaurant,1879 cheshire bridge rd.,atlanta,southern
500,dante's down the hatch  buckhead,3380 peachtree rd.,atlanta,continental
501,dante's down the hatch,underground underground mall  underground atlanta,atlanta,continental
502,fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,barbecue
503,french quarter food shop,923 peachtree st.  at 8th st.,atlanta,southern
504,holt bros. bar-b-q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,barbecue
505,horseradish grill,4320 powers ferry rd.,atlanta,southern
506,hsu's gourmet,192 peachtree center ave.  at international blvd.,atlanta,asian
507,imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,mediterranean
508,kamogawa,3300 peachtree rd.  grand hyatt,atlanta,asian
509,la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,italian
510,little szechuan,c buford hwy.  northwoods plaza  doraville,atlanta,asian
511,lowcountry barbecue,6301 roswell rd.  sandy springs plaza  sandy springs,atlanta,barbecue
512,luna si,1931 peachtree rd.,atlanta,continental
513,mambo restaurante cubano,1402 n. highland ave.,atlanta,caribbean
514,mckinnon's louisiane,3209 maple dr.,atlanta,southern
515,mi spia dunwoody rd.,park place  across from perimeter mall  dunwoody,atlanta,italian
516,nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,atlanta,fusion
517,palisades,1829 peachtree rd.,atlanta,continental
518,pleasant peasant,555 peachtree st.  at linden ave.,atlanta,american
519,pricci,500 pharr rd.,atlanta,italian
520,r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,american
521,rib ranch,25 irby ave.,atlanta,barbecue
522,sa tsu ki,3043 buford hwy.,atlanta,asian
523,sato sushi and thai,6050 peachtree pkwy.  norcross,atlanta,asian
524,south city kitchen,1144 crescent ave.,atlanta,southern
525,south of france,2345 cheshire bridge rd.,atlanta,french
526,stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,southern
527,sundown cafe,2165 cheshire bridge rd.,atlanta,american
528,taste of new orleans,889 w. peachtree st.,atlanta,southern
529,tomtom,3393 peachtree rd.,atlanta,continental
530,antonio's,3700 w. flamingo,las vegas,italian
531,bally's big kitchen,3645 las vegas blvd. s,las vegas,buffets
532,bamboo garden,4850 flamingo rd.,las vegas,asian
533,battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,italian
534,bertolini's,3570 las vegas blvd. s,las vegas,italian
535,binion's coffee shop,128 fremont st.,las vegas,coffee shops/diners
536,bistro,3400 las vegas blvd. s,las vegas,continental
537,broiler,4111 boulder hwy.,las vegas,american
538,bugsy's diner,3555 las vegas blvd. s,las vegas,coffee shops/diners
539,cafe michelle,1350 e. flamingo rd.,las vegas,american
540,cafe roma,3570 las vegas blvd. s,las vegas,coffee shops/diners
541,capozzoli's,3333 s. maryland pkwy.,las vegas,italian
542,carnival world,3700 w. flamingo rd.,las vegas,buffets
543,center stage plaza hotel,1 main st.,las vegas,american
544,circus circus,2880 las vegas blvd. s,las vegas,buffets
545,empress court,3570 las vegas blvd. s,las vegas,asian
546,feast,2411 w. sahara ave.,las vegas,buffets
547,golden nugget hotel,129 e. fremont st.,las vegas,buffets
548,golden steer,308 w. sahara ave.,las vegas,steak houses
549,lillie langtry's,129 e. fremont st.,las vegas,asian
550,mandarin court,1510 e. flamingo rd.,las vegas,asian
551,margarita's mexican cantina,3120 las vegas blvd. s,las vegas,mexican
552,mary's diner,5111 w. boulder hwy.,las vegas,coffee shops/diners
553,mikado,3400 las vegas blvd. s,las vegas,asian
554,pamplemousse,400 e. sahara ave.,las vegas,continental
555,ralph's diner,3000 las vegas blvd. s,las vegas,coffee shops/diners
556,the bacchanal,3570 las vegas blvd. s,las vegas,only in las vegas
557,venetian,3713 w. sahara ave.,las vegas,italian
558,viva mercado's,6182 w. flamingo rd.,las vegas,mexican
559,yolie's,3900 paradise rd.,las vegas,steak houses
560,2223,2223 market st.,san francisco,american
561,acquarello,1722 sacramento st.,san francisco,italian
562,bardelli's,243 o'farrell st.,san francisco,old san francisco
563,betelnut,2030 union st.,san francisco,asian
564,bistro roti,155 steuart st.,san francisco,french
565,bix,56 gold st.,san francisco,american
566,bizou,598 fourth st.,san francisco,french
567,buca giovanni,800 greenwich st.,san francisco,italian
568,cafe adriano,3347 fillmore st.,san francisco,italian
569,cafe marimba,2317 chestnut st.,san francisco,mexican/latin american/spanish
570,california culinary academy,625 polk st.,san francisco,french
571,capp's corner,1600 powell st.,san francisco,italian
572,carta,1772 market st.,san francisco,american
573,chevys,4th and howard sts.,san francisco,mexican/latin american/spanish
574,cypress club,500 jackson st.,san francisco,american
575,des alpes,732 broadway,san francisco,french
576,faz,161 sutter st.,san francisco,greek and middle eastern
577,fog city diner,1300 battery st.,san francisco,american
578,garden court,market and new montgomery sts.,san francisco,old san francisco
579,gaylord's,ghirardelli sq.,san francisco,asian
580,grand cafe hotel monaco,501 geary st.,san francisco,american
581,greens,bldg. a fort mason,san francisco,vegetarian
582,harbor village,4 embarcadero center,san francisco,asian
583,harris',2100 van ness ave.,san francisco,steak houses
584,harry denton's,161 steuart st.,san francisco,american
585,hayes street grill,320 hayes st.,san francisco,seafood
586,helmand,430 broadway,san francisco,greek and middle eastern
587,hong kong flower lounge,5322 geary blvd.,san francisco,asian
588,hong kong villa,2332 clement st.,san francisco,asian
589,hyde street bistro,1521 hyde st.,san francisco,italian
590,il fornaio levi's plaza,1265 battery st.,san francisco,italian
591,izzy's steak & chop house,3345 steiner st.,san francisco,steak houses
592,jack's,615 sacramento st.,san francisco,old san francisco
593,kabuto sushi,5116 geary blvd.,san francisco,asian
594,katia's,600 5th ave.,san francisco,Russian
595,kuleto's,221 powell st.,san francisco,italian
596,kyo-ya. sheraton palace hotel,2 new montgomery st.  at market st.,san francisco,asian
597,l'osteria del forno,519 columbus ave.,san francisco,italian
598,le central,453 bush st.,san francisco,french
599,le soleil,133 clement st.,san francisco,asian
600,macarthur park,607 front st.,san francisco,american
601,manora,3226 mission st.,san francisco,asian
602,maykadeh,470 green st.,san francisco,greek and middle eastern
603,mccormick & kuleto's,ghirardelli sq.,san francisco,seafood
604,millennium,246 mcallister st.,san francisco,vegetarian
605,moose's,1652 stockton st.,san francisco,mediterranean
606,north india,3131 webster st.,san francisco,asian
607,one market,1 market st.,san francisco,american
608,oritalia,1915 fillmore st.,san francisco,italian
609,pacific pan pacific hotel,500 post st.,san francisco,french
610,palio d'asti,640 sacramento st.,san francisco,italian
611,pane e vino,3011 steiner st.,san francisco,italian
612,pastis,1015 battery st.,san francisco,french
613,perry's,1944 union st.,san francisco,american
614,r&g lounge,631 b kearny st.,san francisco,or 415/982-3811 asian
615,rubicon,558 sacramento st.,san francisco,american
616,rumpus,1 tillman pl.,san francisco,american
617,sanppo,1702 post st.,san francisco,asian
618,scala's bistro,432 powell st.,san francisco,italian
619,south park cafe,108 south park,san francisco,french
620,splendido embarcadero,4,san francisco,mediterranean
621,stars,150 redwood alley,san francisco,american
622,stars cafe,500 van ness ave.,san francisco,american
623,stoyanof's cafe,1240 9th ave.,san francisco,greek and middle eastern
624,straits cafe,3300 geary blvd.,san francisco,asian
625,suppenkuche,601 hayes st.,san francisco,russian/german
626,tadich grill,240 california st.,san francisco,seafood
627,the heights,3235 sacramento st.,san francisco,french
628,thepin,298 gough st.,san francisco,asian
629,ton kiang,3148 geary blvd.,san francisco,asian
630,vertigo,600 montgomery st.,san francisco,mediterranean
631,vivande porta via,2125 fillmore st.,san francisco,italian
632,vivande ristorante,670 golden gate ave.,san francisco,italian
633,world wrapps,2257 chestnut st.,san francisco,american
634,wu kong,101 spear st.,san francisco,asian
635,yank sing,427 battery st.,san francisco,asian
636,yaya cuisine,1220 9th ave.,san francisco,greek and middle eastern
637,yoyo tsumami bistro,1611 post st.,san francisco,french
638,zarzuela,2000 hyde st.,san francisco,mexican/latin american/spanish
639,zuni cafe & grill,1658 market st.,san francisco,mediterranean
640,apple pan  the,10801 w. pico blvd.,west la,american
641,asahi ramen,2027 sawtelle blvd.,west la,noodle shops
642,baja fresh,3345 kimber dr.,westlake village,mexican
643,belvedere  the,9882 little santa monica blvd.,beverly hills,pacific new wave
644,benita's frites,1433 third st. promenade,santa monica,fast food
645,bernard's,515 s. olive st.,los angeles,continental
646,bistro 45,45 s. mentor ave.,pasadena,californian
647,brent's deli,19565 parthenia ave.,northridge,delis
648,brighton coffee shop,9600 brighton way,beverly hills,coffee shops
649,bristol farms market cafe,1570 rosecrans ave. s.,pasadena,californian
650,bruno's,3838 centinela ave.,mar vista,italian
651,cafe '50s,838 lincoln blvd.,venice,american
652,cafe blanc,9777 little santa monica blvd.,beverly hills,pacific new wave
653,cassell's,3266 w. sixth st.,la,hamburgers
654,chez melange,1716 pch,redondo beach,eclectic
655,diaghilev,1020 n. san vicente blvd.,w. hollywood,russian
656,don antonio's,1136 westwood blvd.,westwood,italian
657,duke's,8909 sunset blvd.,w. hollywood,coffee shops
658,falafel king,1059 broxton ave.,westwood,middle eastern
659,feast from the east,1949 westwood blvd.,west la,chinese
660,gumbo pot  the,6333 w. third st.,la,cajun/creole
661,hollywood hills coffee shop,6145 franklin ave.,hollywood,coffee shops
662,indo cafe,10428 1/2 national blvd.,la,indonesian
663,jan's family restaurant,8424 beverly blvd.,la,coffee shops
664,jiraffe,502 santa monica blvd,santa monica,californian
665,jody maroni's sausage kingdom,2011 ocean front walk,venice,hot dogs
666,joe's,1023 abbot kinney blvd.,venice,american (new)
667,john o'groats,10516 w. pico blvd.,west la,coffee shops
668,johnnie's pastrami,4017 s. sepulveda blvd.,culver city,delis
669,johnny reb's southern smokehouse,4663 long beach blvd.,long beach,southern/soul
670,johnny rockets (la),7507 melrose ave.,la,american
671,killer shrimp,4000 colfax ave.,studio city,seafood
672,kokomo cafe,6333 w. third st.,la,american
673,koo koo roo,8393 w. beverly blvd.,la,chicken
674,la cachette,10506 little santa monica blvd.,century city,french (new)
675,la salsa (la),22800 pch,malibu,mexican
676,la serenata de garibaldi,1842 e. first,st. boyle hts.,mexican/tex-mex
677,langer's,704 s. alvarado st.,la,delis
678,local nochol,30869 thousand oaks blvd.,westlake village,health food
679,main course  the,10509 w. pico blvd.,rancho park,american
680,mani's bakery & espresso bar,519 s. fairfax ave.,la,desserts
681,martha's,22nd street grill 25 22nd,st. hermosa beach,american
682,maxwell's cafe,13329 washington blvd.,marina del rey,american
683,michael's (los angeles),1147 third st.,santa monica,californian
684,mishima,8474 w. third st.,la,noodle shops
685,mo better meatty meat,7261 melrose ave.,la,hamburgers
686,mulberry st.,17040 ventura blvd.,encino,pizza
687,ocean park cafe,3117 ocean park blvd.,santa monica,american
688,ocean star,145 n. atlantic blvd.,monterey park,seafood
689,original pantry bakery,875 s. figueroa st. downtown,la,diners
690,parkway grill,510 s. arroyo pkwy.,pasadena,californian
691,pho hoa,642 broadway,chinatown,vietnamese
692,pink's famous chili dogs,709 n. la brea ave.,la,hot dogs
693,poquito mas,2635 w. olive ave.,burbank,mexican
694,r-23,923 e. third st.,los angeles,japanese
695,rae's,2901 pico blvd.,santa monica,diners
696,rubin's red hots,15322 ventura blvd.,encino,hot dogs
697,ruby's (la),45 s. fair oaks ave.,pasadena,diners
698,russell's burgers,1198 pch,seal beach,hamburgers
699,ruth's chris steak house (los angeles),224 s. beverly dr.,beverly hills,steakhouses
700,shiro,1505 mission st. s.,pasadena,pacific new wave
701,sushi nozawa,11288 ventura blvd.,studio city,japanese
702,sweet lady jane,8360 melrose ave.,la,desserts
703,taiko,11677 san vicente blvd.,brentwood,noodle shops
704,tommy's,2575 beverly blvd.,la,hamburgers
705,uncle bill's pancake house,1305 highland ave.,manhattan beach,diners
706,water grill,544 s. grand ave.,los angeles,seafood
707,zankou chicken,1415 e. colorado st.,glendale,middle eastern
708,afghan kebab house,764 ninth ave.,new york city,afghan
709,arcadia,21 e. 62nd st.,new york city,american (new)
710,benny's burritos,93 ave. a,new york city,mexican
711,cafe con leche,424 amsterdam ave.,new york city,cuban
712,corner bistro,331 w. fourth st.,new york city,hamburgers
713,cucina della fontana,368 bleecker st.,new york city,italian
714,cucina di pesce,87 e. fourth st.,new york city,seafood
715,darbar,44 w. 56th st.,new york city,indian
716,ej's luncheonette,432 sixth ave.,new york city,diners
717,edison cafe,228 w. 47th st.,new york city,diners
718,elias corner,24-02 31st st.,queens,greek
719,good enough to eat,483 amsterdam ave.,new york city,american
720,gray's papaya,2090 broadway,new york city,hot dogs
721,il mulino,86 w. third st.,new york city,italian
722,jackson diner,37-03 74th st.,queens,indian
723,joe's shanghai,9 pell st.,queens,chinese
724,john's pizzeria,48 w. 65th st.,new york city,pizza
725,kelley & ping,127 greene st.,new york city,pan-asian
726,kiev,117 second ave.,new york city,ukrainian
727,kuruma zushi,2nd fl.,new york city,japanese
728,la caridad,2199 broadway,new york city,cuban
729,la grenouille,3 e. 52nd st.,new york city,french (classic)
730,lemongrass grill,61a seventh ave.,brooklyn,thai
731,lombardi's,32 spring st.,new york city,pizza
732,marnie's noodle shop,466 hudson st.,new york city,asian
733,menchanko-tei,39 w. 55th st.,new york city,japanese
734,mitali east-west,296 bleecker st.,new york city,indian
735,monsoon (ny),435 amsterdam ave.,new york city,thai
736,moustache,405 atlantic ave.,brooklyn,middle eastern
737,nobu,105 hudson st.,new york city,japanese
738,one if by land  tibs,17 barrow st.,new york city,continental
739,oyster bar,lower level,new york city,seafood
740,palm,837 second ave.,new york city,steakhouses
741,palm too,840 second ave.,new york city,steakhouses
742,patsy's pizza,19 old fulton st.,brooklyn,pizza
743,peter luger steak house,178 broadway,brooklyn,steakhouses
744,rose of india,308 e. sixth st.,new york city,indian
745,sam's noodle shop,411 third ave.,new york city,chinese
746,sarabeth's,1295 madison ave.,new york city,american
747,sparks steak house,210 e. 46th st.,new york city,steakhouses
748,stick to your ribs,5-16 51st ave.,queens,bbq
749,sushisay,38 e. 51st st.,new york city,japanese
750,sylvia's,328 lenox ave.,new york city,southern/soul
751,szechuan hunan cottage,1588 york ave.,new york city,chinese
752,szechuan kitchen,1460 first ave.,new york city,chinese
753,teresa's,80 montague st.,queens,polish
754,thai house cafe,151 hudson st.,new york city,thai
755,thailand restaurant,106 bayard st.,new york city,thai
756,veselka,144 second ave.,new york city,ukrainian
757,westside cottage,689 ninth ave.,new york city,chinese
758,windows on the world,107th fl.,new york city,eclectic
759,wollensky's grill,205 e. 49th st.,new york city,steakhouses
760,yama,122 e. 17th st.,new york city,japanese
761,zarela,953 second ave.,new york city,mexican
762,andre's french restaurant,401 s. 6th st.,las vegas,french (classic)
763,buccaneer bay club,3300 las vegas blvd. s.,las vegas,continental
764,buzio's in the rio,3700 w. flamingo rd.,las vegas,seafood
765,emeril's new orleans fish house,3799 las vegas blvd. s.,las vegas,seafood
766,fiore rotisserie & grille,3700 w. flamingo rd.,las vegas,italian
767,hugo's cellar,202 e. fremont st.,las vegas,continental
768,madame ching's,3300 las vegas blvd. s.,las vegas,asian
769,mayflower cuisinier,4750 w. sahara ave.,las vegas,chinese
770,michael's (las vegas),3595 las vegas blvd. s.,las vegas,continental
771,monte carlo,3145 las vegas blvd. s.,las vegas,french (new)
772,moongate,3400 las vegas blvd. s.,las vegas,chinese
773,morton's of chicago (las vegas),3200 las vegas blvd. s.,las vegas,steakhouses
774,nicky blair's,3925 paradise rd.,las vegas,italian
775,piero's restaurant,355 convention center dr.,las vegas,italian
776,spago (las vegas),3500 las vegas blvd. s.,las vegas,californian
777,steakhouse  the,128 e. fremont st.,las vegas,steakhouses
778,stefano's,129 fremont st.,las vegas,italian
779,sterling brunch,3645 las vegas blvd. s.,las vegas,eclectic
780,tre visi,3799 las vegas blvd. s.,las vegas,italian
781,103 west,103 w. paces ferry rd.,atlanta,continental
782,alon's at the terrace,659 peachtree st.,atlanta,sandwiches
783,baker's cajun cafe,1134 euclid ave.,atlanta,cajun/creole
784,barbecue kitchen,1437 virginia ave.,atlanta,bbq
785,bistro  the,56 e. andrews dr. nw,atlanta,french bistro
786,bobby & june's kountry kitchen,375 14th st.,atlanta,southern/soul
787,bradshaw's restaurant,2911 s. pharr court,atlanta,southern/soul
788,brookhaven cafe,4274 peachtree rd.,atlanta,vegetarian
789,cafe sunflower,5975 roswell rd.,atlanta,health food
790,canoe,4199 paces ferry rd.,atlanta,american (new)
791,carey's,1021 cobb pkwy. se,marietta,hamburgers
792,carey's corner,1215 powers ferry rd.,marietta,hamburgers
793,chops,70 w. paces ferry rd.,atlanta,steakhouses
794,chopstix,4279 roswell rd.,atlanta,chinese
795,deacon burton's soulfood restaurant,1029 edgewood ave. se,atlanta,southern/soul
796,eats,600 ponce de leon ave.,atlanta,italian
797,flying biscuit  the,1655 mclendon ave.,atlanta,eclectic
798,frijoleros,1031 peachtree st. ne,atlanta,tex-mex
799,greenwood's,1087 green st.,roswell,southern/soul
800,harold's barbecue,171 mcdonough blvd.,atlanta,bbq
801,havana sandwich shop,2905 buford hwy.,atlanta,cuban
802,house of chan,2469 cobb pkwy.,smyrna,chinese
803,indian delights,3675 satellite blvd.,duluth,indian
804,java jive,790 ponce de leon ave.,atlanta,coffee shops
805,johnny rockets (at),2970 cobb pkwy.,atlanta,american
806,kalo's coffee house,1248 clairmont rd.,decatur,coffeehouses
807,la fonda latina,4427 roswell rd.,atlanta,spanish
808,lettuce souprise you (at),3525 mall blvd.,duluth,cafeterias
809,majestic,1031 ponce de leon ave.,atlanta,diners
810,morton's of chicago (atlanta),303 peachtree st. ne,atlanta,steakhouses
811,my thai,1248 clairmont rd.,atlanta,thai
812,nava,3060 peachtree rd.,atlanta,southwestern
813,nuevo laredo cantina,1495 chattahoochee ave. nw,atlanta,mexican
814,original pancake house (at),4330 peachtree rd.,atlanta,american
815,palm  the (atlanta),3391 peachtree rd. ne,atlanta,steakhouses
816,rainbow restaurant,2118 n. decatur rd.,decatur,vegetarian
817,ritz-carlton cafe (atlanta),181 peachtree st.,atlanta,american (new)
818,riviera,519 e. paces ferry rd.,atlanta,mediterranean
819,silver skillet  the,200 14th st. nw,atlanta,coffee shops
820,soto,3330 piedmont rd.,atlanta,japanese
821,thelma's kitchen,764 marietta st. nw,atlanta,cafeterias
822,tortillas,774 ponce de leon ave. ne,atlanta,tex-mex
823,van gogh's restaurant & bar,70 w. crossville rd.,roswell,american (new)
824,veggieland,220 sandy springs circle,atlanta,vegetarian
825,white house restaurant,3172 peachtree rd. ne,atlanta,diners
826,zab-e-lee,4837 old national hwy.,college park,thai
827,bill's place,2315 clement st.,san francisco,hamburgers
828,cafe flore,2298 market st.,san francisco,californian
829,caffe greco,423 columbus ave.,san francisco,continental
830,campo santo,240 columbus ave.,san francisco,mexican
831,cha cha cha's,1805 haight st.,san francisco,caribbean
832,doidge's,2217 union st.,san francisco,american
833,dottie's true blue cafe,522 jones st.,san francisco,diners
834,dusit thai,3221 mission st.,san francisco,thai
835,ebisu,1283 ninth ave.,san francisco,japanese
836,emerald garden restaurant,1550 california st.,san francisco,vietnamese
837,eric's chinese restaurant,1500 church st.,san francisco,chinese
838,hamburger mary's,1582 folsom st.,san francisco,hamburgers
839,kelly's on trinity,333 bush st.,san francisco,californian
840,la cumbre,515 valencia st.,san francisco,mexican
841,la mediterranee,288 noe st.,san francisco,mediterranean
842,la taqueria,2889 mission st.,san francisco,mexican
843,mario's bohemian cigar store cafe,2209 polk st.,san francisco,italian
844,marnee thai,2225 irving st.,san francisco,thai
845,mel's drive-in,3355 geary st.,san francisco,hamburgers
846,mo's burgers,1322 grant st.,san francisco,hamburgers
847,phnom penh cambodian restaurant,631 larkin st.,san francisco,cambodian
848,roosevelt tamale parlor,2817 24th st.,san francisco,mexican
849,sally's cafe & bakery,300 de haro st.,san francisco,american
850,san francisco bbq,1328 18th st.,san francisco,thai
851,slanted door,584 valencia st.,san francisco,vietnamese
852,swan oyster depot,1517 polk st.,san francisco,seafood
853,thep phanom,400 waller st.,san francisco,thai
854,ti couz,3108 16th st.,san francisco,french
855,trio cafe,1870 fillmore st.,san francisco,american
856,tu lan,8 sixth st.,san francisco,vietnamese
857,vicolo pizzeria,201 ivy st.,san francisco,pizza
858,wa-ha-ka oaxaca mexican grill,2141 polk st.,san francisco,mexican
